 Increment           1
  4.9912757E-03 -0.4484341      0.1276416       1233.000    
  4.9912757E-03 -0.4484341      0.1348584       1233.000    
  4.9912757E-03 -0.4484341      0.1401416       1356.000    
  4.9912757E-03 -0.4484341      0.1473584       1356.000    
  4.9912757E-03 -0.4484341      0.1526416       1479.000    
  4.9912757E-03 -0.4484341      0.1598584       1479.000    
  4.9912757E-03 -0.4484341      0.1651416       1602.000    
  4.9912757E-03 -0.4484341      0.1723584       1602.000    
  4.9912757E-03 -0.4484341      0.1776416       1725.000    
  4.9912757E-03 -0.4484341      0.1848584       1725.000    
  4.9912757E-03 -0.4484341      0.1901416       1848.000    
  4.9912757E-03 -0.4484341      0.1973584       1848.000    
  4.9912757E-03 -0.4484341      0.2026416       1971.000    
  4.9912757E-03 -0.4484341      0.2098584       1971.000    
  4.9912757E-03 -0.4484341      0.2151416       2094.000    
  4.9912757E-03 -0.4484341      0.2223584       2094.000    
  4.9912757E-03 -0.4484341      0.2276416       2217.000    
  4.9912757E-03 -0.4484341      0.2348584       2217.000    
  4.9912757E-03 -0.4484341      0.2401416       2340.000    
  4.9912757E-03 -0.4484341      0.2473584       2340.000    
  4.9912757E-03 -0.4484341      0.2526416       2463.000    
  4.9912757E-03 -0.4484341      0.2598584       2463.000    
  4.9912757E-03 -0.4484341      0.2651415       2586.000    
  4.9912757E-03 -0.4484341      0.2723584       2586.000    
  4.9912757E-03 -0.4484341      0.2776416       2709.000    
  4.9912757E-03 -0.4484341      0.2848584       2709.000    
  4.9912757E-03 -0.4484341      0.2901416       2832.000    
  4.9912757E-03 -0.4484341      0.2973585       2832.000    
  4.9912757E-03 -0.4484341      0.3026416       2955.000    
  4.9912757E-03 -0.4484341      0.3098584       2955.000    
  4.9912757E-03 -0.4484341      0.3151416       3078.000    
  4.9912757E-03 -0.4484341      0.3223584       3078.000    
  4.9912757E-03 -0.4484341      0.3276415       3201.000    
  4.9912757E-03 -0.4484341      0.3348584       3201.000    
  4.9912757E-03 -0.4484341      0.3401416       3324.000    
  4.9912757E-03 -0.4484341      0.3473584       3324.000    
  4.9912757E-03 -0.4484341      0.3526416       3447.000    
  4.9912757E-03 -0.4484341      0.3598585       3447.000    
  4.9912757E-03 -0.4484341      0.3651416       3570.000    
  4.9912757E-03 -0.4484341      0.3723584       3570.000    
  4.9912757E-03 -0.4484341      0.3776416       3693.000    
  4.9912757E-03 -0.4484341      0.3848584       3693.000    
  4.9912757E-03 -0.4484341      0.3901415       3816.000    
  4.9912757E-03 -0.4484341      0.3973584       3816.000    
  4.9912757E-03 -0.4484341      0.4026416       3939.000    
  4.9912757E-03 -0.4484341      0.4098584       3939.000    
  4.9912757E-03 -0.4484341      0.4151416       4062.000    
  4.9912757E-03 -0.4484341      0.4223585       4062.000    
  4.9912757E-03 -0.4484341      0.4276416       4185.000    
  4.9912757E-03 -0.4484341      0.4348584       4185.000    
  4.9912757E-03 -0.4484341      0.4401416       4308.000    
  4.9912757E-03 -0.4484341      0.4473584       4308.000    
  4.9912757E-03 -0.4484341      0.4526415       4431.000    
  4.9912757E-03 -0.4484341      0.4598584       4431.000    
  4.9912757E-03 -0.4484341      0.4651416       4554.000    
  4.9912757E-03 -0.4484341      0.4723584       4554.000    
  4.9912757E-03 -0.4484341      0.4776416       4677.000    
  4.9912757E-03 -0.4484341      0.4848585       4677.000    
  4.9912757E-03 -0.4484341      0.4901416       4800.000    
  4.9912757E-03 -0.4484341      0.4973584       4800.000    
  4.9912757E-03 -0.4484341      0.5026416       4923.000    
  4.9912757E-03 -0.4484341      0.5098584       4923.000    
  4.9912757E-03 -0.4484341      0.5151415       5046.000    
  4.9912757E-03 -0.4484341      0.5223584       5046.000    
  4.9912757E-03 -0.4484341      0.5276415       5169.000    
  4.9912757E-03 -0.4484341      0.5348585       5169.000    
  4.9912757E-03 -0.4484341      0.5401416       5292.000    
  4.9912757E-03 -0.4484341      0.5473585       5292.000    
  4.9912757E-03 -0.4484341      0.5526416       5415.000    
  4.9912757E-03 -0.4484341      0.5598584       5415.000    
  4.9912757E-03 -0.4484341      0.5651416       5538.000    
  4.9912757E-03 -0.4484341      0.5723584       5538.000    
  4.9912757E-03 -0.4484341      0.5776415       5661.000    
  4.9912757E-03 -0.4484341      0.5848584       5661.000    
  4.9912757E-03 -0.4484341      0.5901415       5784.000    
  4.9912757E-03 -0.4484341      0.5973585       5784.000    
  4.9912757E-03 -0.4484341      0.6026416       5907.000    
  4.9912757E-03 -0.4484341      0.6098585       5907.000    
  4.9912757E-03 -0.4484341      0.6151416       6030.000    
  4.9912757E-03 -0.4484341      0.6223584       6030.000    
  4.9912757E-03 -0.4484341      0.6276416       6153.000    
  4.9912757E-03 -0.4484341      0.6348584       6153.000    
  4.9912757E-03 -0.4484341      0.6401415       6276.000    
  4.9912757E-03 -0.4484341      0.6473584       6276.000    
  4.9912757E-03 -0.4484341      0.6526415       6399.000    
  4.9912757E-03 -0.4484341      0.6598585       6399.000    
  4.9912757E-03 -0.4484341      0.6651416       6522.000    
  4.9912757E-03 -0.4484341      0.6723585       6522.000    
  4.9912757E-03 -0.4484341      0.6776416       6645.000    
  4.9912757E-03 -0.4484341      0.6848584       6645.000    
  4.9912757E-03 -0.4484341      0.6901416       6768.000    
  4.9912757E-03 -0.4484341      0.6973584       6768.000    
  4.9912757E-03 -0.4484341      0.7026415       6891.000    
  4.9912757E-03 -0.4484341      0.7098584       6891.000    
  4.9912757E-03 -0.4484341      0.7151415       7014.000    
  4.9912757E-03 -0.4484341      0.7223585       7014.000    
  4.9912757E-03 -0.4484341      0.7276416       7137.000    
  4.9912757E-03 -0.4484341      0.7348585       7137.000    
  4.9912757E-03 -0.4484341      0.7401416       7260.000    
  4.9912757E-03 -0.4484341      0.7473584       7260.000    
  4.9912757E-03 -0.4484341      0.7526416       7383.000    
  4.9912757E-03 -0.4484341      0.7598584       7383.000    
  4.9912757E-03 -0.4484341      0.7651415       7506.000    
  4.9912757E-03 -0.4484341      0.7723584       7506.000    
  4.9912757E-03 -0.4484341      0.7776415       7629.000    
  4.9912757E-03 -0.4484341      0.7848585       7629.000    
  4.9912757E-03 -0.4484341      0.7901416       7752.000    
  4.9912757E-03 -0.4484341      0.7973585       7752.000    
  4.9912757E-03 -0.4484341      0.8026416       7875.000    
  4.9912757E-03 -0.4484341      0.8098584       7875.000    
  4.9912757E-03 -0.4484341      0.8151416       7998.000    
  4.9912757E-03 -0.4484341      0.8223584       7998.000    
  4.9912757E-03 -0.4484341      0.8276415       8121.000    
  4.9912757E-03 -0.4484341      0.8348584       8121.000    
  4.9912757E-03 -0.4484341      0.8401415       8244.000    
  4.9912757E-03 -0.4484341      0.8473585       8244.000    
  4.9912757E-03 -0.4484341      0.8526416       8367.000    
  4.9912757E-03 -0.4484341      0.8598585       8367.000    
  4.9912757E-03 -0.4484341      0.8651416       8490.000    
  4.9912757E-03 -0.4484341      0.8723584       8490.000    
  4.9912757E-03 -0.4484341      0.8776416       8613.000    
  4.9912757E-03 -0.4484341      0.8848584       8613.000    
  4.9912757E-03 -0.4484341      0.8901415       8736.000    
  4.9912757E-03 -0.4484341      0.8973584       8736.000    
  4.9912757E-03 -0.4484341      0.9026415       8859.000    
  4.9912757E-03 -0.4484341      0.9098585       8859.000    
  4.9912757E-03 -0.4484341      0.9151416       8982.000    
  4.9912757E-03 -0.4484341      0.9223585       8982.000    
  4.9912757E-03 -0.4484341      0.9276416       9105.000    
  4.9912757E-03 -0.4484341      0.9348584       9105.000    
  4.9912757E-03 -0.4484341      0.9401416       9228.000    
  4.9912757E-03 -0.4484341      0.9473584       9228.000    
  4.9912757E-03 -0.4484341      0.9526415       9351.000    
  4.9912757E-03 -0.4484341      0.9598584       9351.000    
  4.9912757E-03 -0.4484341      0.9651415       9474.000    
  4.9912757E-03 -0.4484341      0.9723585       9474.000    
  4.9912757E-03 -0.4484341      0.9776416       9597.000    
  4.9912757E-03 -0.4484341      0.9848585       9597.000    
  4.9912757E-03 -0.4484341      0.9901416       9720.000    
  4.9912757E-03 -0.4484341      0.9973584       9720.000    
  4.9912757E-03 -0.4484341       1.002642       9843.000    
  4.9912757E-03 -0.4484341       1.009858       9843.000    
  4.9912757E-03 -0.4484341       1.015142       9966.000    
